K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	GEOM	MIG21
19.6	21.5	20.55	1.3435	34.8	0.953831	0.951923	0.0228584	0.0245289	0.952877	0.00134885	0.964671	0.155376	0.161231	0.0784793	0.0534893	0.158303	0.00413964	0.243809	0.141121	0.145774	0.0712588	0.054929	0.143447	0.00328961	159.8	152.7	89.6261	84.605	156.25	5.02046	171.5	0.0243409	1143.97		161992	62424	33.7121349	7.2906460	11405	73685	9.82790e-04	0.2465318	1.16792e-04
24.6	22.6	23.6	1.41421	40.3	0.980242	0.966026	0.00900638	0.0113429	0.973134	0.0100524	0.978991	0.237766	0.489187	0.129859	0.137158	0.363477	0.177781	0.357716	0.221692	0.209626	0.112437	0.117788	0.215659	0.00853231	133.1	52.1	66.584	29.2971	92.6	57.2756	137.8	0.0135116	2019.41		192751	140950	28.2415537	9.2079619	122713	8126	4.86539e-04	0.2380889	6.53279e-05
17.1	17.1	17.1	0	25	0.948185	0.932692	0.0120237	0.0274454	0.940439	0.0109553	0.950665	0.304198	0.319082	0.284101	0.308465	0.31164	0.0105242	0.383262	0.28789	0.272589	0.266135	0.237456	0.28024	0.0108197	110.1	107.6	74.0382	72.7938	108.85	1.76777	111.8	0.023071	157.276		29961	177125	52.4587944	4.6169696	63541	110140	7.57147e-04	0.2332032	2.60662e-05
7.3	5.9	6.6	0.989949	8.3	0.790524	0.745	0.056599	0.0847501	0.767762	0.0321905	0.773357	0.904423	0.845714	0.111818	0.13229	0.875069	0.0415134	0.934615	0.819456	0.672361	0.091831	0.140786	0.745908	0.104012	7.3	6.1	2.62679	1.79196	6.7	0.848528	8	0.0209418	0.308789		140591	136640	11.5503050	1.4699912	50272	174340	1.99444e-04	0.1633140	1.07581e-05
19.8	20.8	20.3	0.707107	31	0.954435	0.957051	0.0237641	0.0161632	0.955743	0.00184965	0.963419	0.39595	0.493105	0.190495	0.187953	0.444527	0.0686991	0.563654	0.357071	0.393012	0.135472	0.195859	0.375042	0.0254144	61.7	48	34.2346	22.5487	54.85	9.68736	65.1	0.0154797	194.783		84705	11174	5.1363368	1.3064449	79621	92828	2.06547e-04	0.2768688	1.16918e-04
15.5	17.8	16.65	1.62635	31.6	0.932056	0.932949	0.0271833	0.0301459	0.932503	0.000630928	0.963067	0.375963	0.503561	0.2744	0.317873	0.439762	0.0902256	0.344544	0.182124	0.201846	0.144012	0.164742	0.191985	0.0139456	95.7	68.8	96.0672	70.182	82.25	19.0212	132.4	0.0613316	7154.83		114020	149463	73.1776625	9.9115207	75552	172251	9.49783e-04	0.2238733	6.63142e-05
15.8	15.3	15.55	0.353553	21.7	0.933065	0.926154	0.0239836	0.0225502	0.929609	0.00488658	0.938928	0.396399	0.562324	0.293614	0.247757	0.479361	0.117327	0.496975	0.377539	0.360234	0.278051	0.243447	0.368887	0.012237	66.5	40.2	51.3728	39.7654	53.35	18.5969	68.5	0.0204479	175.804		37608	168335	64.4832367	7.3631595	120262	40603	5.33584e-04	0.1986593	4.37411e-05
21.9	23.4	22.65	1.06066	36.1	0.971371	0.961923	0.00864823	0.0101679	0.966647	0.00668067	0.972261	0.17205	0.268114	0.0660082	0.136728	0.220082	0.0679275	0.277653	0.167717	0.181076	0.0638598	0.080552	0.174396	0.00944588	163	130.8	123.486	133.176	146.9	22.7688	165.5	0.0125605	534.874		177718	56283	67.8945096	9.5996114	82292	152391	6.52846e-04	0.1158790	1.70560e-04
13.5	12.3	12.9	0.848528	17.8	0.908266	0.900513	0.0271034	0.0196878	0.904389	0.00548242	0.915023	0.470719	0.51214	0.285543	0.310345	0.49143	0.0292892	0.573624	0.436681	0.398564	0.25049	0.221924	0.417622	0.0269523	50.8	47.7	55.7191	58.5169	49.25	2.19203	52.4	0.0238854	90.4469		27029	106947	19.0090858	9.9054410	53607	185120	7.71617e-04	0.2060026	9.26201e-05
8.4	8.4	8.4	0	10	0.827016	0.811154	0.0458548	0.0486994	0.819085	0.0112163	0.823474	0.907459	0.872298	0.160248	0.212667	0.889879	0.0248627	0.920832	0.770912	0.801833	0.16955	0.222736	0.786372	0.0218646	8.9	9.7	4.33205	4.96767	9.3	0.565685	10.7	0.0127597	0.694539		139616	136534	81.7349117	7.7167092	59864	141937	2.65830e-04	0.1419029	5.65186e-05
15.1	23.4	19.25	5.86899	32.8	0.929637	0.962564	0.0219718	0.0106547	0.946101	0.0232829	0.965571	0.145193	0.172201	0.100306	0.0822613	0.158697	0.019098	0.223205	0.106327	0.161664	0.0616754	0.0830814	0.133995	0.0391291	149.5	163	87.4722	76.2438	156.25	9.54594	178.4	0.0357268	2546.25		158921	166728	46.8821804	4.4180357	5008	125232	7.32067e-04	0.1687691	2.64985e-05
