S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE
23	4	23	4	13.5	13.435	27	0.408372	-1.39336	-0.492495	1.27402	7.77143	0.501538	4.13648	5.14059	0.989492	296.992		21705	12453	24.2698833	41079	1.29504e-07
9	6	9	6	7.5	2.12132	15	0.740194	-0.150668	0.294763	0.629934	3.31429	1.49231	2.4033	1.28833	0.967048	65.3667		40195	4616	86.2061390	469276	1.24610e-07
17	24	17	24	20.5	4.94975	41	-0.654748	2.17463	0.75994	2.00067	4.38095	10.04	7.21048	4.00155	0.929622	113.077		17061	44306	82.0881138	65386	1.51272e-07
3	30	3	30	16.5	19.0919	33	-0.211146	0.65354	0.221197	0.611425	0.857143	9.24615	5.05165	5.93193	0.908078	66.7641		2898	13950	68.4038907	498033	9.41418e-08
3	8	3	8	5.5	3.53553	11	-1.31654	-1.93047	-1.6235	0.434113	0.514286	0.809231	0.661758	0.208558	0.991466	82.3846		40775	7261	89.2715797	152431	1.49133e-07
3	4	3	4	3.5	0.707107	7	0.771427	-0.836565	-0.0325692	1.13702	1.1619	0.72	0.940952	0.312474	0.992891	123.651		15757	20550	28.2285225	359098	1.06785e-07
2	9	2	9	5.5	4.94975	11	-0.0238069	0.0984467	0.0373199	0.0864464	0.609524	2.43077	1.52015	1.28781	0.994738	337.503		6039	45140	88.2536804	496986	1.10456e-07
6	7	6	7	6.5	0.707107	13	0.944017	-1.00727	-0.0316278	1.37977	2.34286	1.23077	1.78681	0.786365	0.960322	41.2205		40913	46190	52.0288090	200703	8.98873e-08
13	30	13	30	21.5	12.0208	43	0.189223	-1.26522	-0.537997	1.02844	4.19048	5.18154	4.68601	0.700787	0.993243	714.087		946	42204	48.1866285	332359	9.93208e-08
31	38	31	38	34.5	4.94975	69	0.926319	-1.12526	-0.0994722	1.45069	11.6286	6.98462	9.30659	3.28377	0.978006	393.946		13396	39202	69.9254181	272932	1.44087e-07
47	23	47	23	35	16.9706	70	0.0545374	0.899722	0.47713	0.597636	14.6381	7.52	11.079	5.03325	0.965426	292.31		38890	41249	2.1378192	151221	1.05765e-07
8	7	8	7	7.5	0.707107	15	1.76278	-0.637595	0.562592	1.69732	3.6381	1.45231	2.5452	1.54559	0.992474	297.495		26564	18315	24.9042111	315674	1.48260e-07
2	25	2	25	13.5	16.2635	27	-1.00161	-0.148171	-0.574889	0.603471	0.380952	6.28615	3.33355	4.17561	0.990386	432.626		44004	28556	49.2195654	363728	1.22863e-07
