S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG12	MIG21
49	12	47	10	30.5	26.163	59	1.20639	-0.355936	0.425228	1.10473	19.2952	2.81231	11.0538	11.6552	0.9498	175.974		18308	28865	37.9902086	0.8980176	27130	54830	1.29456e-07	4.90506e-05	3.11110e-05
21	30	4	13	25.5	6.36396	34	-1.91676	0.293319	-0.81172	1.56276	3.44762	8.48308	5.96535	3.56061	0.152953	7.24359		23487	19858	37.2313736	9.7904472	17440	464872	1.26438e-07	4.16845e-04	4.93023e-04
2	7	0	5	4.5	3.53553	7	-1.49051	-1.9366	-1.71356	0.315437	0.266667	0.673846	0.470256	0.287919	-0.0132789	0.469231		35101	18857	86.3662087	8.9515079	4706	369638	1.44747e-07	2.55021e-04	4.74705e-04
26	35	6	15	30.5	6.36396	41	1.32407	0.79387	1.05897	0.37491	10.5333	11.1138	10.8236	0.410485	-0.00626375	10.7641		15246	46249	89.1855664	7.6680693	51235	30861	1.10536e-07	5.02956e-04	1.65800e-04
0	4	0	4	2	2.82843	4	0	-1.88742	-0.943711	1.33461	0	0.307692	0.153846	0.217571	-0.023085	0.153846		38404	5163	8.0522624	9.0270830	50692	70216	8.88682e-08	2.35056e-04	0.0017484
2	2	1	1	2	0	3	-0.268257	-1.22394	-0.746096	0.675767	0.552381	0.224615	0.388498	0.231765	0.137801	0.438462		3164	17374	40.7252754	9.2993603	27758	59585	1.48180e-07	0.0029391	5.35246e-04
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		34522	34340	52.6109275	1.5266010	51213	248107	7.06616e-08	4.42211e-05	4.44555e-05
12	11	2	1	11.5	0.707107	13	1.81463	0.160145	0.987388	1.1699	5.40952	3.02154	4.21553	1.68856	0.0832743	4.53333		13269	8579	49.5244275	2.4123125	15203	136273	1.14606e-07	1.81801e-04	2.81188e-04
36	41	11	16	38.5	3.53553	52	-0.126137	-0.652358	-0.389247	0.372094	10.7429	8.89231	9.81758	1.30854	0.040071	10.1897		9233	12018	87.7520974	1.3972551	96026	99856	1.22491e-07	1.51333e-04	1.16264e-04
13	10	7	4	11.5	2.12132	17	-0.560107	-0.121754	-0.340931	0.309962	3.42857	2.52308	2.97582	0.640281	0.0352091	3.06667		9569	12700	19.1701143	4.3218233	32336	25718	1.23531e-07	4.51648e-04	3.40301e-04
