K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1	
10	8.5	9.25	1.06066	11.7	0.854839	0.807436	0.0581385	0.0810092	0.831137	0.0335188	0.837598	0.765788	0.661233	0.188005	0.176641	0.71351	0.0739313	0.789869	0.682487	0.582738	0.164206	0.175298	0.632613	0.0705332	13.1	13.2	5.83952	7.16163	13.15	0.0707107	14.7	0.0216239	1.85256	
12.9	17.2	15.05	3.04056	20.2	0.913105	0.940897	0.0398998	0.0193345	0.927001	0.0196523	0.935407	0.663092	0.704308	0.125856	0.118086	0.6837	0.0291443	0.799477	0.508129	0.687012	0.0480412	0.111652	0.59757	0.12649	19.6	24.1	7.07421	5.91514	21.85	3.18198	24.7	0.014449	5.07477	
24.8	25.9	25.35	0.777817	43	0.981855	0.970385	0.00833983	0.00692914	0.97612	0.00811067	0.978834	0.215237	0.219516	0.101616	0.0657009	0.217377	0.00302621	0.324227	0.18862	0.195515	0.0605517	0.0578412	0.192068	0.00487545	138.7	132	65.9984	59.7327	135.35	4.73762	146.1	0.00685112	216.842	
14.2	14	14.1	0.141421	18.5	0.921573	0.913718	0.0238447	0.0179594	0.917645	0.00555406	0.92903	0.687155	0.707666	0.138672	0.158866	0.697411	0.0145034	0.801744	0.6176	0.620925	0.1243	0.144758	0.619263	0.00235079	20.7	19.8	6.71731	5.47317	20.25	0.636396	22.7	0.0251158	1.49062	
12.7	10.5	11.6	1.55563	15	0.911694	0.862179	0.0360255	0.0469318	0.886937	0.0350117	0.899413	0.757505	0.693333	0.227978	0.20234	0.725419	0.0453764	0.81145	0.691978	0.580256	0.18822	0.160345	0.636117	0.0789994	19.9	18	17.4002	16.6266	18.95	1.3435	20.9	0.0334155	10.1481	
8.8	13.6	11.2	3.39411	14.7	0.840524	0.899744	0.0508932	0.0418707	0.870134	0.0418744	0.880947	0.723085	0.717608	0.23444	0.238179	0.720347	0.00387235	0.767906	0.492772	0.709916	0.190933	0.229115	0.601344	0.153544	15.8	22.9	17.3769	18.711	19.35	5.02046	23	0.0166991	2.10721	
18.5	10.8	14.65	5.44472	22.5	0.954435	0.867051	0.0104199	0.0467829	0.910743	0.06179	0.92543	0.333854	0.668525	0.17934	0.371442	0.501189	0.236648	0.398984	0.329873	0.18938	0.176372	0.105754	0.259627	0.0993436	66.8	26.7	28.4402	25.6127	46.75	28.355	67.2	0.0415843	65.2455	
5	6.8	5.9	1.27279	7.6	0.666935	0.770256	0.12545	0.065628	0.718596	0.0730589	0.741002	0.780317	0.819858	0.32576	0.286796	0.800088	0.0279596	0.85537	0.601605	0.783753	0.259577	0.281899	0.692679	0.128798	9	10	9.89949	8.73053	9.5	0.707107	10.6	0.0435032	0.560137	
14.4	17	15.7	1.83848	21.3	0.921169	0.935897	0.0364201	0.0244898	0.928533	0.0104143	0.932668	0.57778	0.678963	0.192912	0.170028	0.628372	0.071547	0.770199	0.540983	0.619693	0.165395	0.144915	0.580338	0.0556564	27.7	27.2	13.6711	15.4258	27.45	0.353553	29.4	0.00702619	5.63187	
23.2	21.7	22.45	1.06066	36.9	0.974597	0.960256	0.0140069	0.00985689	0.967427	0.0101402	0.975078	0.187249	0.198272	0.157063	0.18368	0.192761	0.00779458	0.28846	0.18177	0.179872	0.155789	0.169365	0.180821	0.00134256	195.2	180.7	115.042	107.923	187.95	10.253	199.6	0.0171991	161.172	
