S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
13	13	6	6	13	0	19	-0.953505	0.430125	-0.26169	0.978374	3.02857	3.83692	3.43275	0.571591	0.0492602	3.62821	
50	34	35	19	42	11.3137	69	-0.804256	-0.824297	-0.814276	0.0141716	12.5048	6.94769	9.72623	3.92944	0.0273639	9.89744	
12	335	2	325	173.5	228.395	337	1.35216	0.963126	1.15764	0.275089	4.97143	109.037	57.0042	73.5854	0.108331	67.2179	
43	44	20	21	43.5	0.707107	64	-0.692364	0.611834	-0.0402647	0.922207	11.0857	13.3877	12.2367	1.62774	0.142139	14.3513	
19	37	7	25	28	12.7279	44	1.98421	0.730423	1.35732	0.886564	8.68571	11.5785	10.1321	2.04548	0.244897	13.5923	
9	22	8	21	15.5	9.19239	30	1.10145	-0.617394	0.242028	1.21541	3.58095	4.78154	4.18125	0.848943	0.992323	566.528	
14	24	6	16	19	7.07107	30	0.5779	0.105172	0.341536	0.334269	4.93333	6.47077	5.70205	1.08713	0.102115	6.39744	
10	18	4	12	14	5.65685	22	-1.26025	-0.0116479	-0.635949	0.882895	2.05714	4.70154	3.37934	1.86987	0.47408	6.8	
37	23	30	16	30	9.89949	53	0.0825557	-0.140728	-0.0290859	0.157885	11.6	5.79385	8.69692	4.10557	0.175048	10.2846	
17	10	17	10	13.5	4.94975	27	-0.787219	-0.0910145	-0.439117	0.492291	4.20952	2.54769	3.37861	1.17509	0.862125	23.0154	
22	35	4	17	28.5	9.19239	39	2.27408	0.875634	1.57486	0.988851	10.4952	11.3138	10.9045	0.578843	0.0498763	11.4949	
15	115	3	103	65	70.7107	118	0.0792659	-0.126774	-0.0237542	0.145692	4.70476	29.1631	16.9339	17.2946	0.0701585	18.8256	
33	36	4	7	34.5	2.12132	40	0.96599	-0.841737	0.0621262	1.27826	12.4667	7.32	9.89333	3.63924	0.102569	10.8667	
103	28	85	10	65.5	53.033	113	1.63202	-0.913105	0.359455	1.79967	43.4667	5.52308	24.4949	26.8302	0.29259	31.8641	
5	5	2	2	5	0	7	-1.66013	0.553374	-0.55338	1.56519	0.780952	1.56615	1.17355	0.555221	0.058081	1.2641	
100	20	98	18	60	56.5685	118	-1.95466	-1.20683	-1.58075	0.528797	17.0381	3.47692	10.2575	9.5892	0.880534	71.5692	
8	9	2	3	8.5	0.707107	11	-1.43028	-0.308217	-0.86925	0.793421	1.50476	2.13231	1.81853	0.443742	-0.0133091	1.80256	
12	3	11	2	7.5	6.36396	14	0.507651	-1.31104	-0.401694	1.28601	4.17143	0.366154	2.26879	2.69074	0.375182	3.25385	
137	12	130	5	74.5	88.3883	142	-0.828315	-1.20274	-1.01553	0.264761	34.2095	2.02154	18.1155	22.7603	0.133184	19.7359	
23	14	17	8	18.5	6.36396	31	-0.717325	-0.852292	-0.784809	0.0954364	5.84762	2.76	4.30381	2.18328	0.138199	4.87949	
15	19	3	7	17	2.82843	22	-0.950967	-0.401577	-0.676272	0.388478	3.51429	4.41846	3.96637	0.639349	-0.0224036	3.88974	
31	33	9	11	32	1.41421	42	0.500944	0.631913	0.566428	0.0926089	10.6667	10.1108	10.3887	0.393079	-0.0224953	10.1538	
2	2	1	1	2	0	3	-0.594191	0.536448	-0.0288713	0.799482	0.47619	0.655385	0.565788	0.126709	-0.00290623	0.566667	
20	22	10	12	21	1.41421	32	0.140522	-0.439732	-0.149605	0.410302	6.3619	5.06462	5.71326	0.917322	0.138983	6.58718	
0	2	0	2	1	1.41421	2	0	-1.51314	-0.756571	1.06995	0	0.153846	0.0769231	0.108786	-0.023085	0.0769231	
7	6	5	4	6.5	0.707107	11	-0.41494	0.567572	0.0763161	0.694741	1.90476	1.87385	1.8893	0.0218607	0.0940829	2.08462	
21	32	6	17	26.5	7.77817	38	0.544857	-0.601028	-0.0280858	0.810263	7.31429	7.03385	7.17407	0.198301	0.223678	9.22564	
6	7	0	1	6.5	0.707107	7	1.34152	0.794908	1.06821	0.386514	2.55238	2.31077	2.43158	0.170845	-0.028547	2.36154	
