S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
2	26	2	26	14	16.9706	28	-0.10529	-0.718476	-0.411883	0.433588	0.590476	5.48	3.03524	3.45742	0.980435	189.756	
31	25	31	25	28	4.24264	56	0.138743	-0.251287	-0.0562719	0.275793	9.84762	6.10154	7.97458	2.64888	0.88195	63.5513	
13	6	13	6	9.5	4.94975	19	-0.672507	1.74919	0.538343	1.7124	3.31429	2.50154	2.90791	0.574699	0.97014	93.6487	
1	52	1	52	26.5	36.0624	53	-1.15945	1.84687	0.343713	2.12579	0.133333	20.2	10.1667	14.1893	0.975627	530.692	
47	10	47	10	28.5	26.163	57	0.988587	0.923396	0.955992	0.0460971	17.781	3.36	10.5705	10.1972	0.920619	109.367	
2	0	2	0	1	1.41421	2	0.953994	0	0.476997	0.674575	0.838095	0	0.419048	0.592623	0.99747	119	
31	15	30	14	23	11.3137	45	0.10505	-1.22417	-0.559562	0.939903	9.77143	2.54462	6.15802	5.11013	0.980923	270.285	
59	4	59	4	31.5	38.8909	63	0.18803	-0.522877	-0.167423	0.502687	18.9333	0.843077	9.88821	12.7917	0.967906	230.903	
8	28	8	28	18	14.1421	36	-0.0333183	0.949577	0.45813	0.695012	2.4381	9.22462	5.83136	4.79879	0.973158	252.049	
33	15	32	14	24	12.7279	47	0.668284	-0.308481	0.179901	0.690677	11.7524	3.58154	7.66696	5.77766	0.957958	155.99	
24	9	24	9	16.5	10.6066	33	0.658755	1.10043	0.879593	0.312313	8.55238	3.16615	5.85927	3.80864	0.970208	171.859	
24	38	24	38	31	9.89949	62	0.947992	-0.151845	0.398074	0.777702	9.06667	9.55692	9.31179	0.346664	0.972952	346.764	
31	27	30	26	29	2.82843	57	2.62361	0.074371	1.34899	1.80258	15.4667	7.21846	11.3426	5.83236	0.945891	189.172	
0	24	0	24	12	16.9706	24	0	1.84815	0.924077	1.30684	0	9.47692	4.73846	6.7012	0.988075	508.231	
51	0	51	0	25.5	36.0624	51	-0.92321	0	-0.461605	0.652808	12.3238	0	6.1619	8.71425	0.947774	86.2667	
14	6	14	6	10	5.65685	20	-1.14064	-0.631425	-0.886033	0.360071	3.06667	1.23692	2.15179	1.29382	0.985063	127.015	
13	21	13	21	17	5.65685	34	0.189223	0.192271	0.190747	0.00215583	4.19048	5.79692	4.9937	1.13593	0.989796	511.372	
19	9	19	9	14	7.07107	28	-0.648562	0.0774847	-0.285538	0.513392	4.91429	2.41538	3.66484	1.76699	0.934363	50.7821	
35	39	34	38	37	2.82843	73	0.900008	2.28087	1.59044	0.976417	13.0476	16.3969	14.7223	2.36832	0.888031	135.279	
25	19	25	19	22	4.24264	44	0.642929	-0.666056	-0.0115635	0.925592	8.87619	4.04923	6.46271	3.41318	0.972735	212.677	
11	42	10	41	26.5	21.9203	52	-0.490602	0.446967	-0.0218172	0.662961	2.95238	12.3046	7.6285	6.61303	0.947294	168.577	
38	2	38	2	20	25.4558	40	0.676399	-1.51314	-0.418371	1.54824	13.5429	0.153846	6.84835	9.46746	0.938497	82.3436	
20	26	19	25	23	4.24264	45	0.647901	-1.66178	-0.506939	1.63319	7.12381	3.72923	5.42652	2.40033	0.975637	203.513	
26	7	26	7	16.5	13.435	33	-1.22066	-0.72488	-0.972769	0.350567	5.65714	1.4	3.52857	3.01025	0.991397	340.921	
33	36	32	35	34.5	2.12132	68	-0.625744	0.859939	0.117097	1.05054	8.64762	11.5938	10.1207	2.0833	0.982035	586.11	
23	35	22	34	29	8.48528	57	-0.249213	-0.48795	-0.368582	0.168813	6.64762	7.97846	7.31304	0.941048	0.988304	641.128	
63	32	60	29	47.5	21.9203	92	-1.25859	-0.89238	-1.07549	0.258952	13.7524	6.37846	10.0654	5.21415	0.975011	362.11	
6	7	6	7	6.5	0.707107	13	-1.54942	-0.652998	-1.10121	0.633863	1.02857	1.44308	1.23582	0.2931	0.969414	42.2641	
25	9	25	9	17	11.3137	34	-0.71825	1.20943	0.245592	1.36308	6.3619	3.24615	4.80403	2.20317	0.986692	328.377	
14	72	14	72	43	41.0122	86	0.314858	0.240128	0.277493	0.052842	4.64762	20.0369	12.3423	10.8819	0.955245	322.321	
42	12	42	12	27	21.2132	54	-0.410816	-1.3642	-0.887507	0.674142	11.6762	1.87077	6.77348	6.93348	0.977707	243.051	
9	11	9	11	10	1.41421	20	0.482154	-0.0952648	0.193445	0.408297	3.12381	2.8	2.9619	0.228968	0.991087	327.228	
34	22	33	21	28	8.48528	55	0.648478	-1.08279	-0.217156	1.22419	12.0571	4.04	8.04857	5.66898	0.977914	314.244	
2	41	2	41	21.5	27.5772	43	-1.49051	0.491056	-0.499726	1.40118	0.266667	12.1385	6.20256	8.39463	0.945765	143.731	
3	7	3	7	5	2.82843	10	-0.579611	1.62155	0.520969	1.55646	0.742857	2.80615	1.77451	1.45897	0.991115	232.21	
